ID,TITLE,ARTIST,ALBUM,GENRE,YEAR,LOCATION
99,attack音D,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\07. attack音D.flac
100,YAMANAIAME,"Mica Caldito, mpi, Mika Kobayashi",Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\08. YAMANAIAME.flac
101,2Volt,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\09. 2Volt.flac
102,進撃st-hrn-egt20130629巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\10. 進撃st-hrn-egt20130629巨人.flac
103,So ist es immer,Benjamin,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\11. So ist es immer.flac
104,進撃st-hrn-gt-pf20130629巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\12. 進撃st-hrn-gt-pf20130629巨人.flac
105,ymniam-orch (sm2_Final#2),Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\13. ymniam-orch (sm2_Final#2).flac
106,The Reluctant Heroes <MODv>,Mica Caldito,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\14. The Reluctant Heroes _MODv_.flac
107,進撃st-hrn-gt20130629巨人,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\15. 進撃st-hrn-gt20130629巨人.flac
108,theDOGS,mpi,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\16. theDOGS.flac
